year,Value,country_code,indicator
2024,,BLZ,NE.GDI.TOTL.ZS
2023,18.2747688996853,BLZ,NE.GDI.TOTL.ZS
2022,22.4821723399023,BLZ,NE.GDI.TOTL.ZS
2021,21.8545371919605,BLZ,NE.GDI.TOTL.ZS
2024,,BOL,NE.GDI.TOTL.ZS
2023,17.6169589648051,BOL,NE.GDI.TOTL.ZS
2022,16.6168659809669,BOL,NE.GDI.TOTL.ZS
2021,16.790744049772,BOL,NE.GDI.TOTL.ZS
2024,,BRA,NE.GDI.TOTL.ZS
2023,16.0859873495074,BRA,NE.GDI.TOTL.ZS
2022,18.0882204442366,BRA,NE.GDI.TOTL.ZS
2021,19.521885019122,BRA,NE.GDI.TOTL.ZS
2024,,BRB,NE.GDI.TOTL.ZS
2023,,BRB,NE.GDI.TOTL.ZS
2022,,BRB,NE.GDI.TOTL.ZS
2021,,BRB,NE.GDI.TOTL.ZS
2024,,BRN,NE.GDI.TOTL.ZS
2023,29.5631702814335,BRN,NE.GDI.TOTL.ZS
2022,25.8510430691062,BRN,NE.GDI.TOTL.ZS
2021,31.2725674724409,BRN,NE.GDI.TOTL.ZS
2024,,BTN,NE.GDI.TOTL.ZS
2023,,BTN,NE.GDI.TOTL.ZS
2022,55.7788293059761,BTN,NE.GDI.TOTL.ZS
2021,44.38859602619,BTN,NE.GDI.TOTL.ZS
2024,,BWA,NE.GDI.TOTL.ZS
2023,30.3195921303399,BWA,NE.GDI.TOTL.ZS
2022,26.7904523067808,BWA,NE.GDI.TOTL.ZS
2021,27.3626084475317,BWA,NE.GDI.TOTL.ZS
2024,,CAF,NE.GDI.TOTL.ZS
2023,23.7477562200269,CAF,NE.GDI.TOTL.ZS
2022,24.3266600012173,CAF,NE.GDI.TOTL.ZS
2021,25.3641399970476,CAF,NE.GDI.TOTL.ZS
2024,,CAN,NE.GDI.TOTL.ZS
2023,24.0198953024404,CAN,NE.GDI.TOTL.ZS
2022,25.363906800901,CAN,NE.GDI.TOTL.ZS
2021,24.3144256359344,CAN,NE.GDI.TOTL.ZS
2024,,CHE,NE.GDI.TOTL.ZS
2023,24.5764946902913,CHE,NE.GDI.TOTL.ZS
2022,24.5373792637435,CHE,NE.GDI.TOTL.ZS
2021,26.1046273792677,CHE,NE.GDI.TOTL.ZS
2024,,CHL,NE.GDI.TOTL.ZS
2023,22.9537913250417,CHL,NE.GDI.TOTL.ZS
2022,25.5883785104755,CHL,NE.GDI.TOTL.ZS
2021,24.0686079961728,CHL,NE.GDI.TOTL.ZS
2024,,CHN,NE.GDI.TOTL.ZS
2023,42.0789515576359,CHN,NE.GDI.TOTL.ZS
2022,43.1462525159503,CHN,NE.GDI.TOTL.ZS
2021,43.1402990748017,CHN,NE.GDI.TOTL.ZS
2024,,CIV,NE.GDI.TOTL.ZS
2023,28.1135035890477,CIV,NE.GDI.TOTL.ZS
2022,26.3529419294383,CIV,NE.GDI.TOTL.ZS
2021,23.5753170688856,CIV,NE.GDI.TOTL.ZS
2024,,CMR,NE.GDI.TOTL.ZS
2023,19.5166502739918,CMR,NE.GDI.TOTL.ZS
2022,19.1070783023643,CMR,NE.GDI.TOTL.ZS
2021,18.1266921736343,CMR,NE.GDI.TOTL.ZS
2024,,COD,NE.GDI.TOTL.ZS
2023,32.1151182270969,COD,NE.GDI.TOTL.ZS
2022,31.4658381044428,COD,NE.GDI.TOTL.ZS
2021,27.5213236257768,COD,NE.GDI.TOTL.ZS
2024,,COG,NE.GDI.TOTL.ZS
2023,25.2109559920067,COG,NE.GDI.TOTL.ZS
2022,20.9792068255243,COG,NE.GDI.TOTL.ZS
2021,21.9769014632722,COG,NE.GDI.TOTL.ZS
2024,,COL,NE.GDI.TOTL.ZS
2023,13.6023346887484,COL,NE.GDI.TOTL.ZS
2022,19.7440316344297,COL,NE.GDI.TOTL.ZS
2021,18.9169518896828,COL,NE.GDI.TOTL.ZS
2024,,COM,NE.GDI.TOTL.ZS
2023,12.7170165749988,COM,NE.GDI.TOTL.ZS
2022,12.9617188603894,COM,NE.GDI.TOTL.ZS
2021,13.5328945904035,COM,NE.GDI.TOTL.ZS
2024,,CPV,NE.GDI.TOTL.ZS
2023,20.1214437976469,CPV,NE.GDI.TOTL.ZS
2022,21.8794313027596,CPV,NE.GDI.TOTL.ZS
2021,27.7497642140942,CPV,NE.GDI.TOTL.ZS
2024,,CRI,NE.GDI.TOTL.ZS
2023,15.2565937229937,CRI,NE.GDI.TOTL.ZS
2022,17.6973336496207,CRI,NE.GDI.TOTL.ZS
2021,18.5817848852788,CRI,NE.GDI.TOTL.ZS
2024,,CUB,NE.GDI.TOTL.ZS
2023,,CUB,NE.GDI.TOTL.ZS
2022,16.5925136354171,CUB,NE.GDI.TOTL.ZS
2021,23.8110304155458,CUB,NE.GDI.TOTL.ZS
2024,,CYP,NE.GDI.TOTL.ZS
2023,20.5141680170979,CYP,NE.GDI.TOTL.ZS
2022,21.008715033706,CYP,NE.GDI.TOTL.ZS
2021,19.8760144194238,CYP,NE.GDI.TOTL.ZS
2024,,CZE,NE.GDI.TOTL.ZS
2023,27.9925844224832,CZE,NE.GDI.TOTL.ZS
2022,31.0333010301464,CZE,NE.GDI.TOTL.ZS
2021,28.1285338444502,CZE,NE.GDI.TOTL.ZS
2024,,DEU,NE.GDI.TOTL.ZS
2023,21.6725400485002,DEU,NE.GDI.TOTL.ZS
2022,23.0210554269889,DEU,NE.GDI.TOTL.ZS
2021,22.4613894888017,DEU,NE.GDI.TOTL.ZS
2024,,DMA,NE.GDI.TOTL.ZS
2023,,DMA,NE.GDI.TOTL.ZS
2022,,DMA,NE.GDI.TOTL.ZS
2021,,DMA,NE.GDI.TOTL.ZS
2024,,DNK,NE.GDI.TOTL.ZS
2023,22.8265168619473,DNK,NE.GDI.TOTL.ZS
2022,24.6939180177246,DNK,NE.GDI.TOTL.ZS
2021,23.6020021691337,DNK,NE.GDI.TOTL.ZS
2024,,DOM,NE.GDI.TOTL.ZS
2023,31.3371205479558,DOM,NE.GDI.TOTL.ZS
2022,33.2764068366778,DOM,NE.GDI.TOTL.ZS
2021,31.3520926028993,DOM,NE.GDI.TOTL.ZS
2024,,DZA,NE.GDI.TOTL.ZS
2023,37.724946210066,DZA,NE.GDI.TOTL.ZS
2022,35.0891197613498,DZA,NE.GDI.TOTL.ZS
2021,39.1458051112848,DZA,NE.GDI.TOTL.ZS
2024,,ECU,NE.GDI.TOTL.ZS
2023,21.4485365984717,ECU,NE.GDI.TOTL.ZS
2022,22.2936144889134,ECU,NE.GDI.TOTL.ZS
2021,20.9726418928949,ECU,NE.GDI.TOTL.ZS
2024,,EGY,NE.GDI.TOTL.ZS
2023,12.8753925650879,EGY,NE.GDI.TOTL.ZS
2022,17.018807778132,EGY,NE.GDI.TOTL.ZS
2021,15.171616814996,EGY,NE.GDI.TOTL.ZS
2024,,ERI,NE.GDI.TOTL.ZS
2023,,ERI,NE.GDI.TOTL.ZS
2022,,ERI,NE.GDI.TOTL.ZS
2021,,ERI,NE.GDI.TOTL.ZS
2024,,ESP,NE.GDI.TOTL.ZS
2023,21.004602475833,ESP,NE.GDI.TOTL.ZS
2022,22.6550254835913,ESP,NE.GDI.TOTL.ZS
2021,21.8740337716536,ESP,NE.GDI.TOTL.ZS
2024,,EST,NE.GDI.TOTL.ZS
2023,27.694515970385,EST,NE.GDI.TOTL.ZS
2022,28.9736561167561,EST,NE.GDI.TOTL.ZS
2021,30.4701833404119,EST,NE.GDI.TOTL.ZS
2024,,ETH,NE.GDI.TOTL.ZS
2023,22.1714596641164,ETH,NE.GDI.TOTL.ZS
2022,25.3422315846234,ETH,NE.GDI.TOTL.ZS
2021,28.0252977177735,ETH,NE.GDI.TOTL.ZS
2024,,FIN,NE.GDI.TOTL.ZS
2023,22.8139177520855,FIN,NE.GDI.TOTL.ZS
2022,27.5525694788895,FIN,NE.GDI.TOTL.ZS
2021,24.7768969786625,FIN,NE.GDI.TOTL.ZS
2024,,FJI,NE.GDI.TOTL.ZS
2023,,FJI,NE.GDI.TOTL.ZS
2022,18.4752088503066,FJI,NE.GDI.TOTL.ZS
2021,21.7308967446864,FJI,NE.GDI.TOTL.ZS
2024,,FRA,NE.GDI.TOTL.ZS
2023,23.1533644509286,FRA,NE.GDI.TOTL.ZS
2022,24.1891253222165,FRA,NE.GDI.TOTL.ZS
2021,23.4474845782806,FRA,NE.GDI.TOTL.ZS
2024,,FSM,NE.GDI.TOTL.ZS
2023,,FSM,NE.GDI.TOTL.ZS
2022,,FSM,NE.GDI.TOTL.ZS
2021,,FSM,NE.GDI.TOTL.ZS
2024,,GAB,NE.GDI.TOTL.ZS
2023,18.076037701764,GAB,NE.GDI.TOTL.ZS
2022,16.0269404879583,GAB,NE.GDI.TOTL.ZS
2021,17.4565506184958,GAB,NE.GDI.TOTL.ZS
2024,,GBR,NE.GDI.TOTL.ZS
2023,17.1673537304198,GBR,NE.GDI.TOTL.ZS
2022,17.9381324146186,GBR,NE.GDI.TOTL.ZS
2021,18.0269099501181,GBR,NE.GDI.TOTL.ZS
2024,,GEO,NE.GDI.TOTL.ZS
2023,24.9987945168551,GEO,NE.GDI.TOTL.ZS
2022,24.0666627779303,GEO,NE.GDI.TOTL.ZS
2021,20.6788502074962,GEO,NE.GDI.TOTL.ZS
2024,,GHA,NE.GDI.TOTL.ZS
2023,10.8475973001109,GHA,NE.GDI.TOTL.ZS
2022,15.5216814050798,GHA,NE.GDI.TOTL.ZS
2021,17.0366779158262,GHA,NE.GDI.TOTL.ZS
2024,,GIN,NE.GDI.TOTL.ZS
2023,20.8605222670854,GIN,NE.GDI.TOTL.ZS
2022,14.0142215654177,GIN,NE.GDI.TOTL.ZS
2021,16.0762705485493,GIN,NE.GDI.TOTL.ZS
2024,,GMB,NE.GDI.TOTL.ZS
2023,27.2873451105666,GMB,NE.GDI.TOTL.ZS
2022,28.6236492072635,GMB,NE.GDI.TOTL.ZS
2021,30.3707902499395,GMB,NE.GDI.TOTL.ZS
2024,,GNB,NE.GDI.TOTL.ZS
2023,23.9636336125093,GNB,NE.GDI.TOTL.ZS
2022,18.982163954555,GNB,NE.GDI.TOTL.ZS
2021,17.3184096686048,GNB,NE.GDI.TOTL.ZS
2024,,GNQ,NE.GDI.TOTL.ZS
2023,9.3599926039255,GNQ,NE.GDI.TOTL.ZS
2022,7.33815470437154,GNQ,NE.GDI.TOTL.ZS
2021,8.24679554193157,GNQ,NE.GDI.TOTL.ZS
2024,,GRC,NE.GDI.TOTL.ZS
2023,16.7312327593368,GRC,NE.GDI.TOTL.ZS
2022,19.9840681581658,GRC,NE.GDI.TOTL.ZS
2021,17.48296657419,GRC,NE.GDI.TOTL.ZS
2024,,GRD,NE.GDI.TOTL.ZS
2023,,GRD,NE.GDI.TOTL.ZS
2022,,GRD,NE.GDI.TOTL.ZS
2021,,GRD,NE.GDI.TOTL.ZS
2024,,GRL,NE.GDI.TOTL.ZS
2023,,GRL,NE.GDI.TOTL.ZS
2022,,GRL,NE.GDI.TOTL.ZS
2021,33.3362826203432,GRL,NE.GDI.TOTL.ZS
2024,,GTM,NE.GDI.TOTL.ZS
2023,16.4400769400898,GTM,NE.GDI.TOTL.ZS
2022,16.5826231300986,GTM,NE.GDI.TOTL.ZS
2021,16.7846412117045,GTM,NE.GDI.TOTL.ZS
2024,,GUY,NE.GDI.TOTL.ZS
2023,,GUY,NE.GDI.TOTL.ZS
2022,,GUY,NE.GDI.TOTL.ZS
2021,,GUY,NE.GDI.TOTL.ZS
2024,,HKG,NE.GDI.TOTL.ZS
2023,15.4520004521061,HKG,NE.GDI.TOTL.ZS
2022,15.2298644953455,HKG,NE.GDI.TOTL.ZS
2021,16.776482902733,HKG,NE.GDI.TOTL.ZS
2024,,HND,NE.GDI.TOTL.ZS
2023,23.118689953979,HND,NE.GDI.TOTL.ZS
2022,26.3262317410881,HND,NE.GDI.TOTL.ZS
2021,24.2309330499915,HND,NE.GDI.TOTL.ZS
2024,,HRV,NE.GDI.TOTL.ZS
2023,23.2818000891938,HRV,NE.GDI.TOTL.ZS
2022,26.0693590928628,HRV,NE.GDI.TOTL.ZS
2021,21.7975453802865,HRV,NE.GDI.TOTL.ZS
2024,,HTI,NE.GDI.TOTL.ZS
2023,13.8536836673602,HTI,NE.GDI.TOTL.ZS
2022,15.8621394204196,HTI,NE.GDI.TOTL.ZS
2021,18.1059819549396,HTI,NE.GDI.TOTL.ZS
2024,,HUN,NE.GDI.TOTL.ZS
2023,25.3457083347974,HUN,NE.GDI.TOTL.ZS
2022,33.9743241975732,HUN,NE.GDI.TOTL.ZS
2021,30.6386215866008,HUN,NE.GDI.TOTL.ZS
2024,,IDN,NE.GDI.TOTL.ZS
2023,30.5197743952542,IDN,NE.GDI.TOTL.ZS
2022,29.7458756572376,IDN,NE.GDI.TOTL.ZS
2021,31.4488724858483,IDN,NE.GDI.TOTL.ZS
2024,,IND,NE.GDI.TOTL.ZS
2023,33.3198612583639,IND,NE.GDI.TOTL.ZS
2022,33.0239169739536,IND,NE.GDI.TOTL.ZS
2021,32.1158221755014,IND,NE.GDI.TOTL.ZS
2024,,IRL,NE.GDI.TOTL.ZS
2023,26.3322520716791,IRL,NE.GDI.TOTL.ZS
2022,22.9185833312825,IRL,NE.GDI.TOTL.ZS
2021,23.1108973888954,IRL,NE.GDI.TOTL.ZS
2024,,IRN,NE.GDI.TOTL.ZS
2023,,IRN,NE.GDI.TOTL.ZS
2022,38.0015916372557,IRN,NE.GDI.TOTL.ZS
2021,39.4525905601314,IRN,NE.GDI.TOTL.ZS
2024,,IRQ,NE.GDI.TOTL.ZS
2023,,IRQ,NE.GDI.TOTL.ZS
2022,22.2679803793067,IRQ,NE.GDI.TOTL.ZS
2021,21.4281806177489,IRQ,NE.GDI.TOTL.ZS
2024,,ISL,NE.GDI.TOTL.ZS
2023,24.8660780868475,ISL,NE.GDI.TOTL.ZS
2022,24.3812978133541,ISL,NE.GDI.TOTL.ZS
2021,22.9484108232953,ISL,NE.GDI.TOTL.ZS
2024,,ISR,NE.GDI.TOTL.ZS
2023,26.112915649354,ISR,NE.GDI.TOTL.ZS
2022,27.4090975819809,ISR,NE.GDI.TOTL.ZS
2021,25.8166903973626,ISR,NE.GDI.TOTL.ZS
2024,,ITA,NE.GDI.TOTL.ZS
2023,22.75497093188,ITA,NE.GDI.TOTL.ZS
2022,24.7563199188966,ITA,NE.GDI.TOTL.ZS
2021,22.0011382315208,ITA,NE.GDI.TOTL.ZS
2024,,JAM,NE.GDI.TOTL.ZS
2023,,JAM,NE.GDI.TOTL.ZS
2022,,JAM,NE.GDI.TOTL.ZS
2021,,JAM,NE.GDI.TOTL.ZS
2024,,JOR,NE.GDI.TOTL.ZS
2023,,JOR,NE.GDI.TOTL.ZS
2022,,JOR,NE.GDI.TOTL.ZS
2021,25.1777968181063,JOR,NE.GDI.TOTL.ZS
2024,,JPN,NE.GDI.TOTL.ZS
2023,26.1770855676398,JPN,NE.GDI.TOTL.ZS
2022,26.587638850898,JPN,NE.GDI.TOTL.ZS
2021,25.7190473484513,JPN,NE.GDI.TOTL.ZS
2024,,KAZ,NE.GDI.TOTL.ZS
2023,29.743445170011,KAZ,NE.GDI.TOTL.ZS
2022,24.9759095791804,KAZ,NE.GDI.TOTL.ZS
2021,26.5334355873452,KAZ,NE.GDI.TOTL.ZS
2024,,KEN,NE.GDI.TOTL.ZS
2023,16.3568914711063,KEN,NE.GDI.TOTL.ZS
2022,19.0540638513609,KEN,NE.GDI.TOTL.ZS
2021,20.3912447822361,KEN,NE.GDI.TOTL.ZS
2024,,KGZ,NE.GDI.TOTL.ZS
2023,30.3559983946603,KGZ,NE.GDI.TOTL.ZS
2022,35.6406881799816,KGZ,NE.GDI.TOTL.ZS
2021,26.4936655518147,KGZ,NE.GDI.TOTL.ZS
2024,,KHM,NE.GDI.TOTL.ZS
2023,33.2944796211269,KHM,NE.GDI.TOTL.ZS
2022,34.5945264318735,KHM,NE.GDI.TOTL.ZS
2021,30.3788112661952,KHM,NE.GDI.TOTL.ZS
2024,,KIR,NE.GDI.TOTL.ZS
2023,,KIR,NE.GDI.TOTL.ZS
2022,20.3011048122805,KIR,NE.GDI.TOTL.ZS
2021,17.4711060309175,KIR,NE.GDI.TOTL.ZS
2024,,KNA,NE.GDI.TOTL.ZS
2023,,KNA,NE.GDI.TOTL.ZS
2022,,KNA,NE.GDI.TOTL.ZS
2021,,KNA,NE.GDI.TOTL.ZS
2024,,KOR,NE.GDI.TOTL.ZS
2023,32.129273979048,KOR,NE.GDI.TOTL.ZS
2022,33.1813562926262,KOR,NE.GDI.TOTL.ZS
2021,32.3271937750171,KOR,NE.GDI.TOTL.ZS
2024,,KWT,NE.GDI.TOTL.ZS
2023,,KWT,NE.GDI.TOTL.ZS
2022,16.8884393847005,KWT,NE.GDI.TOTL.ZS
2021,14.5302831994012,KWT,NE.GDI.TOTL.ZS
2024,,LAO,NE.GDI.TOTL.ZS
2023,,LAO,NE.GDI.TOTL.ZS
2022,,LAO,NE.GDI.TOTL.ZS
2021,,LAO,NE.GDI.TOTL.ZS
2024,,LBN,NE.GDI.TOTL.ZS
2023,,LBN,NE.GDI.TOTL.ZS
2022,1.22517144706489,LBN,NE.GDI.TOTL.ZS
2021,5.35948434334897,LBN,NE.GDI.TOTL.ZS
2024,,LBR,NE.GDI.TOTL.ZS
2023,,LBR,NE.GDI.TOTL.ZS
2022,,LBR,NE.GDI.TOTL.ZS
2021,,LBR,NE.GDI.TOTL.ZS
2024,,LBY,NE.GDI.TOTL.ZS
2023,16.4803551353643,LBY,NE.GDI.TOTL.ZS
2022,10.5201970194858,LBY,NE.GDI.TOTL.ZS
2021,12.160907547063,LBY,NE.GDI.TOTL.ZS
2024,,LCA,NE.GDI.TOTL.ZS
2023,,LCA,NE.GDI.TOTL.ZS
2022,,LCA,NE.GDI.TOTL.ZS
2021,,LCA,NE.GDI.TOTL.ZS
2024,,LKA,NE.GDI.TOTL.ZS
2023,25.4450619909791,LKA,NE.GDI.TOTL.ZS
2022,28.6032956311373,LKA,NE.GDI.TOTL.ZS
2021,36.7342262242154,LKA,NE.GDI.TOTL.ZS
2024,,LSO,NE.GDI.TOTL.ZS
2023,27.2206686483307,LSO,NE.GDI.TOTL.ZS
2022,27.3770082194087,LSO,NE.GDI.TOTL.ZS
2021,28.4701352359002,LSO,NE.GDI.TOTL.ZS
2024,,LTU,NE.GDI.TOTL.ZS
2023,21.9341715222081,LTU,NE.GDI.TOTL.ZS
2022,28.0753061012226,LTU,NE.GDI.TOTL.ZS
2021,21.8350067084027,LTU,NE.GDI.TOTL.ZS
2024,,LUX,NE.GDI.TOTL.ZS
2023,17.9502229880758,LUX,NE.GDI.TOTL.ZS
2022,17.7457699699467,LUX,NE.GDI.TOTL.ZS
2021,18.8395798502118,LUX,NE.GDI.TOTL.ZS
2024,,LVA,NE.GDI.TOTL.ZS
2023,23.9940062166001,LVA,NE.GDI.TOTL.ZS
2022,24.2206717236615,LVA,NE.GDI.TOTL.ZS
2021,25.7263274617241,LVA,NE.GDI.TOTL.ZS
2024,,MAC,NE.GDI.TOTL.ZS
2023,15.4494108218169,MAC,NE.GDI.TOTL.ZS
2022,23.1273217837251,MAC,NE.GDI.TOTL.ZS
2021,22.8160822180812,MAC,NE.GDI.TOTL.ZS
2024,,MAR,NE.GDI.TOTL.ZS
2023,28.8189902949244,MAR,NE.GDI.TOTL.ZS
2022,30.2997689691092,MAR,NE.GDI.TOTL.ZS
2021,30.6763551818437,MAR,NE.GDI.TOTL.ZS
2024,,MDA,NE.GDI.TOTL.ZS
2023,20.7349196944424,MDA,NE.GDI.TOTL.ZS
2022,25.856705399585,MDA,NE.GDI.TOTL.ZS
2021,26.8561258664432,MDA,NE.GDI.TOTL.ZS
2024,,MDG,NE.GDI.TOTL.ZS
2023,21.5936856636199,MDG,NE.GDI.TOTL.ZS
2022,20.7828947555654,MDG,NE.GDI.TOTL.ZS
2021,15.0978087621828,MDG,NE.GDI.TOTL.ZS
2024,,MDV,NE.GDI.TOTL.ZS
2023,32.8813720211951,MDV,NE.GDI.TOTL.ZS
2022,32.9897394941375,MDV,NE.GDI.TOTL.ZS
2021,25.1856622278043,MDV,NE.GDI.TOTL.ZS
2024,,MEX,NE.GDI.TOTL.ZS
2023,24.5819886861257,MEX,NE.GDI.TOTL.ZS
2022,22.8113734595788,MEX,NE.GDI.TOTL.ZS
2021,21.707493930309,MEX,NE.GDI.TOTL.ZS
2024,,MHL,NE.GDI.TOTL.ZS
2023,19.7239876590821,MHL,NE.GDI.TOTL.ZS
2022,26.9933307024467,MHL,NE.GDI.TOTL.ZS
2021,19.8671301660873,MHL,NE.GDI.TOTL.ZS
2024,,MKD,NE.GDI.TOTL.ZS
2023,29.634597089877,MKD,NE.GDI.TOTL.ZS
