Country_ID,ISO3_Code,Country,Region,Income_Level,Lending_Type,Capital,Latitude,Longitude,Continent
121,MAR,Morocco,Middle East & North Africa,Lower middle income,IBRD,Rabat,33.9905,-6.8704,Africa
122,MCO,Monaco,Europe & Central Asia,High income,Not classified,Monaco,43.7325,7.41891,Europe
123,MDA,Moldova,Europe & Central Asia,Upper middle income,IBRD,Chisinau,47.0167,28.8497,Europe
124,MDG,Madagascar,Sub-Saharan Africa ,Low income,IDA,Antananarivo,-20.4667,45.7167,Africa
125,MDV,Maldives,South Asia,Upper middle income,IDA,Male,4.1742,73.5109,Asia
126,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD,Mexico City,19.427,-99.1276,North America
127,MHL,Marshall Islands,East Asia & Pacific,Upper middle income,IDA,Majuro,7.11046,171.135,Oceania
128,MKD,North Macedonia,Europe & Central Asia,Upper middle income,IBRD,Skopje,42.0024,21.4361,Europe
129,MLI,Mali,Sub-Saharan Africa ,Low income,IDA,Bamako,13.5667,-7.50034,Africa
130,MLT,Malta,Middle East & North Africa,High income,Not classified,Valletta,35.9042,14.5189,Europe
131,MMR,Myanmar,East Asia & Pacific,Lower middle income,IDA,Naypyidaw,21.914,95.9562,Asia
132,MNE,Montenegro,Europe & Central Asia,Upper middle income,IBRD,Podgorica,42.4602,19.2595,Europe
133,MNG,Mongolia,East Asia & Pacific,Upper middle income,IBRD,Ulaanbaatar,47.9129,106.937,Asia
134,MNP,Northern Mariana Islands,East Asia & Pacific,High income,Not classified,Saipan,15.1935,145.765,Oceania
135,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA,Maputo,-25.9664,32.5713,Africa
136,MRT,Mauritania,Sub-Saharan Africa ,Lower middle income,IDA,Nouakchott,18.2367,-15.9824,Africa
137,MUS,Mauritius,Sub-Saharan Africa ,Upper middle income,IBRD,Port Louis,-20.1605,57.4977,Africa
138,MWI,Malawi,Sub-Saharan Africa ,Low income,IDA,Lilongwe,-13.9899,33.7703,Africa
139,MYS,Malaysia,East Asia & Pacific,Upper middle income,IBRD,Kuala Lumpur,3.12433,101.684,Asia
140,NAM,Namibia,Sub-Saharan Africa ,Upper middle income,IBRD,Windhoek,-22.5648,17.0931,Africa
141,NCL,New Caledonia,East Asia & Pacific,High income,Not classified,Noum'ea,-22.2677,166.464,Oceania
142,NER,Niger,Sub-Saharan Africa ,Low income,IDA,Niamey,13.514,2.1073,Africa
143,NGA,Nigeria,Sub-Saharan Africa ,Lower middle income,Blend,Abuja,9.05804,7.48906,Africa
144,NIC,Nicaragua,Latin America & Caribbean ,Lower middle income,IDA,Managua,12.1475,-86.2734,North America
145,NLD,Netherlands,Europe & Central Asia,High income,Not classified,Amsterdam,52.3738,4.89095,Europe
146,NOR,Norway,Europe & Central Asia,High income,Not classified,Oslo,59.9138,10.7387,Europe
147,NPL,Nepal,South Asia,Lower middle income,IDA,Kathmandu,27.6939,85.3157,Asia
148,NRU,Nauru,East Asia & Pacific,High income,IBRD,Yaren District,-0.5477,166.920867,Oceania
149,NZL,New Zealand,East Asia & Pacific,High income,Not classified,Wellington,-41.2865,174.776,Oceania
150,OMN,Oman,Middle East & North Africa,High income,Not classified,Muscat,23.6105,58.5874,Asia
151,PAK,Pakistan,South Asia,Lower middle income,Blend,Islamabad,30.5167,72.8,Asia
152,PAN,Panama,Latin America & Caribbean ,High income,IBRD,Panama City,8.99427,-79.5188,North America
153,PER,Peru,Latin America & Caribbean ,Upper middle income,IBRD,Lima,-12.0931,-77.0465,South America
154,PHL,Philippines,East Asia & Pacific,Lower middle income,IBRD,Manila,14.5515,121.035,Asia
155,PLW,Palau,East Asia & Pacific,High income,IBRD,Koror,7.34194,134.479,Oceania
